,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
410,0,8,512,21500649,,,1:36,4,5,5,0,2548,Dwyane Wade,MIA,Miami,1610612748,Heat,204020,Tyler Johnson,MIA,Miami,1610612748,Heat,0,,,,,,,,SUB: Johnson FOR Wade,10:25 PM
411,49,2,513,21500649,Valanciunas BLOCK (3 BLK),,1:24,4,5,0,4,1626159,Justise Winslow,MIA,Miami,1610612748,Heat,0,,,,,,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,,,MISS Winslow  Driving Dunk,10:26 PM
412,0,4,514,21500649,,,1:22,4,5,0,0,204020,Tyler Johnson,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,Johnson REBOUND (Off:2 Def:2),10:26 PM
413,1,2,515,21500649,,,1:15,4,5,0,0,204020,Tyler Johnson,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,MISS Johnson 25' 3PT Jump Shot,10:26 PM
414,0,4,516,21500649,Valanciunas REBOUND (Off:3 Def:10),,1:14,4,4,0,0,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,10:26 PM
415,43,2,517,21500649,MISS Valanciunas 2' Alley Oop Layup,,0:57,4,4,0,0,202685,Jonas Valanciunas,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,10:26 PM
416,0,4,518,21500649,,,0:57,4,5,0,0,203950,Jarnell Stokes,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,Stokes REBOUND (Off:0 Def:1),10:26 PM
417,80,2,519,21500649,,,0:35,4,5,0,0,1626159,Justise Winslow,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,MISS Winslow  3PT Step Back Jump Shot,10:26 PM
418,0,4,520,21500649,Bennett REBOUND (Off:0 Def:1),,0:34,4,4,0,0,203461,Anthony Bennett,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,,,,10:27 PM
419,42,1,521,21500649,Wright  Driving Layup (2 PTS),,0:21,4,4,0,0,1626153,Delon Wright,TOR,Toronto,1610612761,Raptors,0,,,,,,0,,,,,,81 - 101,20,,10:27 PM
420,0,13,523,21500649,,,0:00,4,0,0,0,0,,,,,,0,,,,,,0,,,,,,81 - 101,20,,10:27 PM
